Symbol,Name,Last Sale,Market Cap,Country,IPO Year,Sector,Industry,type
AAL,American Airlines Group Inc. Common Stock,$22.20,14238705331,United States,,Transportation,Air Freight/Delivery Services,stock
AAPL,Apple Inc. Common Stock,$133.70,2.32E+12,United States,1980,Technology,Computer Manufacturing,stock
ABBV,AbbVie Inc. Common Stock,$114.00,2.01E+11,United States,2012,Health Care,Other Pharmaceuticals,stock
ABNB,Airbnb Inc. Class A Common Stock,$151.58,90402161481,United States,2020,Capital Goods,Industrial Machinery/Components,stock
ADBE,Adobe Inc. Common Stock,$574.23,2.74E+11,United States,1986,Technology,Computer Software: Prepackaged Software,stock
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,$58.30,29253787992,,2013,Consumer Services,Movies/Entertainment,stock
AMD,Advanced Micro Devices Inc. Common Stock,$83.82,1.02E+11,United States,,Technology,Semiconductors,stock
AMZN,Amazon.com Inc. Common Stock,$3503.82,1.77E+12,United States,1997,Consumer Services,Catalog/Specialty Distribution,stock
ARKG,ARK Genomic Revolution ETF,,,,,,,etf
ARKK,ARK Innovation ETF,,,,,,,etf
ARKQ,ARK Autonomous Technology & Robotics ETF,,,,,,,etf
ARKW,ARK Next Generation Internet ETF,,,,,,,etf
ATVI,Activision Blizzard Inc. Common Stock,$90.79,70545351550,United States,,Technology,Computer Software: Prepackaged Software,stock
BA,Boeing Company (The) Common Stock,$243.57,1.42E+11,United States,,Capital Goods,Aerospace,stock
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$214.86,5.83E+11,China,2014,Consumer Services,Catalog/Specialty Distribution,stock
BAC,Bank of America Corporation Common Stock,$40.20,3.47E+11,United States,,Finance,Major Banks,stock
BB,BlackBerry Limited Common Stock,$13.14,7440119486,Canada,,Technology,Computer Software: Prepackaged Software,stock
BYND,Beyond Meat Inc. Common Stock,$147.44,9298078017,United States,2019,Consumer Non-Durables,Specialty Foods,stock
CCIV,Churchill Capital Corp IV Class A Common Stock,$25.06,6484275000,United States,2020,,,stock
CCL,Carnival Corporation Common Stock,$28.15,33513715525,United States,1987,,,stock
CLOV,Clover Health Investments Corp. Class A Common Stock,$13.83,6094881000,United States,,Health Care,Medical Specialities,stock
COIN,Coinbase Global Inc. Class A Common Stock,$226.01,47159729583,United States,,Finance,Finance: Consumer Services,stock
