אאורה,אאורה,373019,Shares,329.5
אב-גד,אבגד,1171818,Shares,746.2
אבגול,אבגל,1100957,Shares,308.5
אבוג'ן,אבגן,1105055,Shares,1146
אביב ארלון,אבלן,106013,Shares,174.4
אביב בניה,אביב,444018,Shares,3026
אביליטי,אביל,1137256,Shares,214.9
אברא,אברא,1101666,Shares,397.8
אברבוך,אברבך,675017,Shares,1713
אברות,אברות,297010,Shares,117.2
אדגר,אדגר,1820083,Shares,659.5
אדרי-אל,אדרל,1105162,Shares,156
או פי סי אנרגיה,אפסא,1141571,Shares,3421
או.אר.טי,ארטכ,1086230,Shares,2638
אוברסיז,אובר,1139617,Shares,433.9
אוגווינד,אוגנ,1105907,Shares,8376
אודיוקודס,אודק,1082965,Shares,10450
אוטומקס,אמקס,1131697,Shares,54.2
אולמד סולושנס,אלמד,1101450,Shares,63
אופטיבייס,אובס,1135516,Shares,3511
אופל בלאנס,אופל,1094986,Shares,358.3
אופקו הלת',אפקו,1129543,Shares,1261
אורביט,ארביט,265017,Shares,1876
אורד,אורד,1104496,Shares,58.6
אורון קבוצה,אורנ,1135706,Shares,1119
אוריין,אורן,1103506,Shares,4203
אורמד פארמ,ארמד,1141324,Shares,3632
אורמת טכנו,ארמת,1134402,Shares,22600
אזורים,אזרם,715011,Shares,1314
אטראו שוקי הון,אטרא,1096106,Shares,5520
אי.אל.די.,אילד,1084003,Shares,1074
איביאי בית השק,אבא,175018,Shares,8051
איי.אי מערכות,אאמש,169011,Shares,283.9
איי.סי.אל,איסל,281014,Shares,2355
איי.סי.בי,אסב,1097054,Shares,109.7
אייאיאס,איאס,431015,Shares,21780
איידיאיי ביטוח,אדבט,1129501,Shares,12600
איילון,אילון,209015,Shares,2678
אייס קמעונאות,אייס,1171669,Shares,2111
אייסקיור מדיקל,אסקמ,1122415,Shares,495.7
איירטאצ,ארטצ,1173376,Shares,789.7
אילקס מדיקל,אילקס,1080753,Shares,10860
אימקו,אמקו,282012,Shares,2083
אינטליקנה,אנטל,673012,Shares,234.7
אינטר תעשיות,אנתע,1080928,Shares,966.7
אינטרגאמא,אנטר,174011,Shares,5988
אינטרנט זהב-ש,אנזהב-ש,1083443,Shares,2600
אינטרקיור,אנקר,1106376,Shares,2586
אינפימר,אנפר,1080688,Shares,1532
אינרום,אנרם,1132356,Shares,1655
איסתא,אסתא,1081074,Shares,7018
אירודרום קבוצה,ארדמ,363010,Shares,371.9
איתמר,אתמר,1102458,Shares,218
אל על,אלעל,1087824,Shares,57.7
אלביט הדמיה,אלבהד,1081116,Shares,672.3
אלביט מדקל טכ,אלמדט,474015,Shares,155
אלביט מערכות,אלבמע,1081124,Shares,42250
אלוט,אלוט,1099654,Shares,6147
אלומיי,אלומ,1082635,Shares,9442
אלון גז,אלגז,1117688,Shares,1743
אלוני חץ,אלחץ,390013,Shares,4794
אלטשולר שחם גמל,אשגפ,1159037,Shares,2294
אלמוגים,אלמה,1136829,Shares,579.5
אלמור חשמל,אלמר,1142454,Shares,1034
אלספק,אלספק,1090364,Shares,481.5
אלקו,אלקו,694034,Shares,18660
אלקטרה,אלקטה,739037,Shares,185640
אלקטרה נדלן,אלקנד,1094044,Shares,3907
אלקטרה צריכה,אמצ,5010129,Shares,17340
אלקטריאון,אלוס,368019,Shares,27710
אלרוב נדלן,אלרנד,387019,Shares,15060
אלרון,אלרון,749077,Shares,1247
אמות,אמות,1097278,Shares,2245
אמיליה פיתוח,אמפת,589010,Shares,2295
אמנת,אמנת,654012,Shares,1842
אמת,אמת,382010,Shares,2280
אנגל שלמה,אנגלש,180018,Shares,5345
אנדימד,אנדי,1101021,Shares,268.4
אנלייבקס,אנלב,1158997,Shares,3046
אנלייט אנרגיה,אנלט,720011,Shares,692
אנליסט,אנלסט,1080613,Shares,2911
אנרג'יאן,אנאג,1155290,Shares,3760
אנרג'ין,אנגנ,1172071,Shares,1801
אנרג'יקס,אנרג,1123355,Shares,1270
אסאר אקורד,אסאק,422014,Shares,6963
אסטיגי,סטג,550012,Shares,1960
אספן גרופ,אסגר,313015,Shares,810.7
אפולו פאוור,אפלפ,1082114,Shares,2852
אפי נכסים,אפנכ,1091354,Shares,14500
אפסלון ברנדס,אפסל,456012,Shares,328.4
אפקון החזקות,אפהח,578013,Shares,20090
אפריקה מגורים,אפמג,1097948,Shares,17100
אפריקה תעשיות,אפתש,800011,Shares,451
אקוואריוס מנוע,אקור,1170240,Shares,3473
אקויטל,אקטל,755017,Shares,9160
אקופיה,אקפה,1169895,Shares,619.5
אקס טי אל,אקסבי,1085497,Shares,11.4
אקסיליון,אילנ,383018,Shares,1537
אקסל,אקסל,770016,Shares,213.6
אראסאל,רסל,299016,Shares,574.3
ארגו פרופרטיז,ארגו,1175371,Shares,8941
ארד,ארד,1091651,Shares,4793
ארית תעשיות,ארית,587014,Shares,133.5
ארן,ארן,1085265,Shares,2004
ארנה גרופ,ארנה,366013,Shares,23.6
ארפורט סיטי,ארפט,1095835,Shares,5826
ארקו קורפ,ארקו,1170901,Shares,3450
אשטרום קבוצה,אשקב,1132315,Shares,7665
ב.יאיר,ביאר,1097229,Shares,1360
באטמ,באטמ,1158823,Shares,387.8
בונוס ביוגרופ,בונס,485011,Shares,130.2
בוני תיכון,בנתכ,531012,Shares,2500
בזן,בזן,2590248,Shares,90.1
בזק,בזק,230011,Shares,365.6
בי קומיונקיישנס,בקומ,1107663,Shares,703.3
ביג,ביג,1097260,Shares,40670
ביו ויו,בויו,1096049,Shares,307.3
ביולייט,בולט,1095223,Shares,1140
ביוליין,ביול,1101518,Shares,63.5
ביומילק,במלק,278010,Shares,514.6
ביומיקס,במקס,1162734,Shares,2016
ביונ תלת מימד,ביונ,1175561,Shares,189.1
בינלאומי,בנלמ,593038,Shares,10350
בירמן,ברמן,530014,Shares,1764
בית הזהב,בזהב,235010,Shares,1375
בית שמש,מנבש,1081561,Shares,7016
בכורי שדה,בכרי,1172618,Shares,655
בלייד ריינג'ר,בלרן,1170513,Shares,2189
בליץ,בליץ,424010,Shares,370.8
בלנדר,בלנד,1172097,Shares,2968
בראק אן וי,ברקא,1121607,Shares,33270
בריינסוויי,ברינ,1100718,Shares,1759
בריל,בריל,399014,Shares,1820
ברימאג,ברמג,1094283,Shares,3265
ברם תעשיות,ברם,1094515,Shares,318.7
ברן,ברן,286013,Shares,1049
ברנד,ברנד,536011,Shares,545.3
ברנמילר,ברנמ,1141530,Shares,1162
גאון אחזקות,גאון,1104744,Shares,7000
גאון קבוצה,גנקב,454017,Shares,644.6
גב ים,גבים,759019,Shares,3063
גדסדן נכסים,גדס,1126226,Shares,139.3
גו.די.אם-ש,גודמ-ש,494013,Shares,199.3
גולד,גולד,149013,Shares,13110
גולן פלסטיק,גלפל,1091933,Shares,917.7
גולף,גולף,1096148,Shares,839.3
גזית גלוב,גלוב,126011,Shares,2465
ג'י וואן,גואנ,1156280,Shares,683.9
ג'י.אף.סי-ס,גפסי-ס,1122688,Shares,1050
ג'י.פי גלובל,גפגב,1144781,Shares,867.7
גיבוי אחזקות,גיבו,448019,Shares,1416
גילת,גילת,1082510,Shares,3202
גיקס,גיקס,744011,Shares,191.7
גלובל כנפיים,גלכנ,1141316,Shares,102.3
גלוברנדס,גלרס,1147487,Shares,39910
גלילאו טק,גלטק,1081983,Shares,260
גמלא הראל,גמלא,1175868,Shares,655
גן שמואל,גנשמ,532010,Shares,2061
גניגר,גנגר,1095892,Shares,1861
ג'נסל,גנסל,1169689,Shares,1131
ג'נריישן קפיטל,גנרש,1156926,Shares,108.9
דוניץ,דונץ,400010,Shares,14950
דור אלון,דראל,1093202,Shares,8576
דוראל אנרגיה,דורל,1166768,Shares,1474
דורסל,דרסל,1096676,Shares,1290
די.אן.איי ביומד,דאנא,1103852,Shares,150.3
דיסקונט       א,דסקנט,691212,Shares,1614
דיסקונט השקעות,דסקש,639013,Shares,1063
דיפלומט אחזקות,דיפל,1173491,Shares,6241
דלק קבוצה,דלקקב,1084128,Shares,17300
דלק רכב,דלקרכ,829010,Shares,4360
דלק תמלוגים,דלתמ,1129493,Shares,689.9
דלתא,דלתא,627034,Shares,11630
דלתא מותגים,דלתי,1173699,Shares,6383
דמרי,דמרי,1090315,Shares,18610
דן מלונות,דן,822015,Shares,2930
דנאל,דנאל,314013,Shares,63300
דניה סיבוס,דניה,1173137,Shares,7676
דקמא קפיטל,דקמא,1116177,Shares,79.9
הבורסה לניע בתא,ברסה,1159029,Shares,2075
הדסית ביו,הדסת,1095405,Shares,640.4
הולמס פלייס,הלמס,1142587,Shares,431.7
הום ביוגז,המגז,1172204,Shares,1333
הייקון מערכות,היקנ,1169945,Shares,610.5
הכשרה התחדשות,הכשע,1121474,Shares,455.4
הכשרת הישוב,הכשרה,612010,Shares,4118
המשביר 365,משבי,1104959,Shares,73.3
הפניקס,פנקס,767012,Shares,3006
הראל השקעות,הראל,585018,Shares,3309
וואיטסטון,ווטס,1082346,Shares,990.1
וואליו קפיטל,וליו,599019,Shares,183.6
וואן טכנולוגיות,וואן,161018,Shares,43990
וויו גרופ  C,וויוC,1171107,Shares,226
וויטסמוק,וסמק,216010,Shares,433.4
וויי בוקס,ובקס,486027,Shares,131.1
